OBJECTID,fips,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Sum_All_Years
40,17055,188.1029968,0.0000000,0.0000000,0.0000000,0.0000000,98.5199966,0.0000000,266.2330017,68.6090012,0.0000000,831.0000000,0.0000000,0.0000000,499.4060059,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,324.4930115,892.6119995,241.0000000,0.0000000,3409.9760742
41,17057,2317.9650879,1066.3709717,583.3229980,595.9530029,625.9060059,506.5700073,504.0050049,471.3250122,474.2909851,407.7189941,428.5459900,498.6659851,469.2850037,204.9490051,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9154.8740234
42,17059,1197.2619629,357.1040039,431.2609863,1604.6939697,708.9069824,937.0059814,949.2189941,827.5889893,1438.8339844,366.1640015,1038.6800537,316.1220093,0.0000000,0.0000000,985.7009888,1783.8969727,143.3209991,0.0000000,960.6950073,190.3520050,550.1450195,0.0000000,59.4360008,0.0000000,0.0000000,91.1380005,273.6220093,117.8010025,52.9230003,189.0000000,0.0000000,15570.8720703
43,17065,775.9110107,971.7429810,0.0000000,0.0000000,595.2260132,44.2779999,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,185.5659943,2572.7241211
44,17077,0.0000000,0.0000000,0.0000000,0.0000000,18.6870003,0.0000000,0.0000000,69.7279968,4.5270000,12.0000000,25.1669998,0.0000000,18.5000000,0.0000000,139.2120056,474.1210022,815.7319946,890.5939941,0.0000000,0.0000000,0.0000000,26.4130001,442.1910095,403.5929871,424.4140015,514.3020020,1211.3070068,650.2109985,381.4790039,80.0000000,35.5219994,6637.7001953
45,17081,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,253.5639954,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,253.5639954
46,17107,491.6000061,828.3900146,814.0300293,883.4249878,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3017.4450684
47,17109,498.2959900,487.3670044,532.1270142,480.4500122,456.9880066,490.1010132,515.8129883,471.0520020,402.5740051,316.4479980,431.1029968,433.8840027,277.8129883,532.5850220,596.3750000,495.0299988,504.9830017,506.6279907,482.6380005,478.5320129,199.2259979,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,137.4680023,194.7779999,165.7819977,26.0000000,0.0000000,10114.0400391
48,17117,881.6950073,991.4080200,600.9000244,0.0000000,1581.6030273,901.8300171,981.8040161,0.0000000,247.1620026,943.1879883,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,843.4990234,0.0000000,167.9669952,0.0000000,934.6820068,332.0000000,1669.7860107,11077.5244141
49,17135,582.6779785,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,246.8869934,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.6389999,491.2269897,128.0000000,0.0000000,1469.4309082
