Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,500294,Elk Creek Surface Facilities,Colorado,Gunnison,Uinta Region,Permanently abandoned,Underground,Operating Subsidiary,Preparation Plant,"Oxbow Mining, Inc.","P.O. Box 535, Somerset, CO 81434",,0,43,"42,630"
2001,503672,West Elk Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,Mountain Coal Company Llc,"P.O. Box 591, Somerset, CO 81434",,"5,022,172",331,"686,811"
2001,504452,Sanborn Creek Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434",,"2,810,804",182,"377,362"
2001,500266,King Coal Mine,Colorado,La Plata,Western,Active,Underground,Indepedent Producer Operator,Mine only,"National King Coal, Llc","4424 County Road 120, Hesperus, CO 81326",,"268,755",40,"84,179"
2001,504712,Lorencito Canyon Mine,Colorado,Las Animas,Western,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Lorencito Coal Company, Llc","4422 Bryan Station Road, Lexington, KY 40516",,"13,097",34,"19,583"
2001,502838,Trapper Mine,Colorado,Moffat,Uinta Region,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc.,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,"1,942,310",149,"288,779"
2001,502962,Colowyo Mine,Colorado,Moffat,Uinta Region,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",,"5,767,595",316,"642,459"
2001,500299,New Horizon Mine,Colorado,Montrose,Western,Active,Surface,Indepedent Producer Operator,Mine only,Western Fuels-Colorado,"P.O. Box 628, Nucla, CO 81424",United Mine Workers of America,"370,725",30,"58,643"
2001,503505,Deserado Mine,Colorado,Rio Blanco,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Blue Mountain Energy, Inc.","3607 County Road #65, Rangely, CO 81648",United Mine Workers of America,"2,027,341",157,"333,282"
2001,500304,Seneca,Colorado,Routt,Uinta Region,Active,Surface,Operating Subsidiary,Mine only,Seneca Coal Company,"Box 670, Hayden, CO 81639",United Mine Workers of America,"1,731,303",97,"205,458"
2001,503836,Foidel Creek Mine,Colorado,Routt,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Twentymile Coal Company,"29515 Routt County Rd#27, Oak Creek, CO 80467",,"7,705,045",339,"728,006"
2001,1100598,Eagle No. 2,Illinois,Gallatin,Illinois Basin,"Active, men working, not producing",Surface,Operating Subsidiary,Preparation Plant,Peabody Coal Company,"P. O. Box 148, Graham, KY 42344",United Mine Workers of America,0,1,"2,622"
2001,1100598,Eagle No. 2,Illinois,Gallatin,Illinois Basin,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,Peabody Coal Company,"P. O. Box 148, Graham, KY 42344",United Mine Workers of America,0,2,"2,622"
2001,1102751,I-1 Mine,Illinois,Gallatin,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Illinois Fuel Company Llc,"920 Gape Hollow Rd, Herod, IL 62947",International Union of Operation Engineers,"960,695",102,"273,210"
2001,1102846,Eagle Valley Mine,Illinois,Gallatin,Illinois Basin,Mine closed by MSHA,Underground,Contractor,Mine only,Big Ridge Incorporated,"29 West Raymond Street, Harrisburg, IL 62946",,"1,316,097",167,"387,741"
2001,1102912,Central Prep Plant,Illinois,Gallatin,Illinois Basin,Active,Surface,Indepedent Producer Operator,Preparation Plant,Black Beauty Coal Co,"P.O. Box 312, Evansville, IN 47702",,0,11,"32,355"
2001,1102912,Central Prep Plant,Illinois,Gallatin,Illinois Basin,Active,Underground,Indepedent Producer Operator,Preparation Plant,Black Beauty Coal Co,"P.O. Box 312, Evansville, IN 47702",,0,10,"33,675"
2001,1103017,Wildcat Hills Mine,Illinois,Gallatin,Illinois Basin,Active,Surface,Contractor,Mine and Preparation Plant,Black Beauty Coal Co,"P.O. Box 312, Evansville, IN 47702",,"2,604,265",134,"371,161"
